Tile 1 (0,0): cycles 1403 (nnz=1276)
Tile 2 (0,1): cycles 1378 (nnz=1251)
Tile 3 (0,2): cycles 1371 (nnz=1244)
Tile 4 (0,3): cycles 1386 (nnz=1259)
Tile 5 (0,4): cycles 1376 (nnz=1249)
Tile 6 (0,5): cycles 1334 (nnz=1207)
Tile 7 (0,6): cycles 1386 (nnz=1259)
Tile 8 (0,7): cycles 1393 (nnz=1266)
Tile 9 (0,8): cycles 1368 (nnz=1241)
Tile 10 (0,9): cycles 1304 (nnz=1177)
Tile 11 (0,10): cycles 1372 (nnz=1245)
Tile 12 (0,11): cycles 1301 (nnz=1174)
Tile 13 (0,12): cycles 1353 (nnz=1226)
Tile 14 (0,13): cycles 1368 (nnz=1241)
Tile 15 (0,14): cycles 1364 (nnz=1237)
Tile 16 (0,15): cycles 1347 (nnz=1220)
Tile 17 (1,0): cycles 1353 (nnz=1226)
Tile 18 (1,1): cycles 1305 (nnz=1178)
Tile 19 (1,2): cycles 1315 (nnz=1188)
Tile 20 (1,3): cycles 1381 (nnz=1254)
Tile 21 (1,4): cycles 1358 (nnz=1231)
Tile 22 (1,5): cycles 1348 (nnz=1221)
Tile 23 (1,6): cycles 1352 (nnz=1225)
Tile 24 (1,7): cycles 1302 (nnz=1175)
Tile 25 (1,8): cycles 1373 (nnz=1246)
Tile 26 (1,9): cycles 1382 (nnz=1255)
Tile 27 (1,10): cycles 1334 (nnz=1207)
Tile 28 (1,11): cycles 1348 (nnz=1221)
Tile 29 (1,12): cycles 1398 (nnz=1271)
Tile 30 (1,13): cycles 1389 (nnz=1262)
Tile 31 (1,14): cycles 1399 (nnz=1272)
Tile 32 (1,15): cycles 1371 (nnz=1244)
Tile 33 (2,0): cycles 1367 (nnz=1240)
Tile 34 (2,1): cycles 1400 (nnz=1273)
Tile 35 (2,2): cycles 1367 (nnz=1240)
Tile 36 (2,3): cycles 1327 (nnz=1200)
Tile 37 (2,4): cycles 1318 (nnz=1191)
Tile 38 (2,5): cycles 1363 (nnz=1236)
Tile 39 (2,6): cycles 1388 (nnz=1261)
Tile 40 (2,7): cycles 1367 (nnz=1240)
Tile 41 (2,8): cycles 1313 (nnz=1186)
Tile 42 (2,9): cycles 1331 (nnz=1204)
Tile 43 (2,10): cycles 1317 (nnz=1190)
Tile 44 (2,11): cycles 1365 (nnz=1238)
Tile 45 (2,12): cycles 1405 (nnz=1278)
Tile 46 (2,13): cycles 1348 (nnz=1221)
Tile 47 (2,14): cycles 1367 (nnz=1240)
Tile 48 (2,15): cycles 1351 (nnz=1224)
Tile 49 (3,0): cycles 1348 (nnz=1221)
Tile 50 (3,1): cycles 1321 (nnz=1194)
Tile 51 (3,2): cycles 1316 (nnz=1189)
Tile 52 (3,3): cycles 1352 (nnz=1225)
Tile 53 (3,4): cycles 1381 (nnz=1254)
Tile 54 (3,5): cycles 1359 (nnz=1232)
Tile 55 (3,6): cycles 1423 (nnz=1296)
Tile 56 (3,7): cycles 1352 (nnz=1225)
Tile 57 (3,8): cycles 1386 (nnz=1259)
Tile 58 (3,9): cycles 1321 (nnz=1194)
Tile 59 (3,10): cycles 1363 (nnz=1236)
Tile 60 (3,11): cycles 1384 (nnz=1257)
Tile 61 (3,12): cycles 1356 (nnz=1229)
Tile 62 (3,13): cycles 1309 (nnz=1182)
Tile 63 (3,14): cycles 1371 (nnz=1244)
Tile 64 (3,15): cycles 1415 (nnz=1288)
Tile 65 (4,0): cycles 1370 (nnz=1243)
Tile 66 (4,1): cycles 1406 (nnz=1279)
Tile 67 (4,2): cycles 1362 (nnz=1235)
Tile 68 (4,3): cycles 1373 (nnz=1246)
Tile 69 (4,4): cycles 1391 (nnz=1264)
Tile 70 (4,5): cycles 1334 (nnz=1207)
Tile 71 (4,6): cycles 1352 (nnz=1225)
Tile 72 (4,7): cycles 1374 (nnz=1247)
Tile 73 (4,8): cycles 1331 (nnz=1204)
Tile 74 (4,9): cycles 1378 (nnz=1251)
Tile 75 (4,10): cycles 1397 (nnz=1270)
Tile 76 (4,11): cycles 1370 (nnz=1243)
Tile 77 (4,12): cycles 1399 (nnz=1272)
Tile 78 (4,13): cycles 1395 (nnz=1268)
Tile 79 (4,14): cycles 1367 (nnz=1240)
Tile 80 (4,15): cycles 1349 (nnz=1222)
Tile 81 (5,0): cycles 1346 (nnz=1219)
Tile 82 (5,1): cycles 1381 (nnz=1254)
Tile 83 (5,2): cycles 1365 (nnz=1238)
Tile 84 (5,3): cycles 1354 (nnz=1227)
Tile 85 (5,4): cycles 1368 (nnz=1241)
Tile 86 (5,5): cycles 1352 (nnz=1225)
Tile 87 (5,6): cycles 1321 (nnz=1194)
Tile 88 (5,7): cycles 1361 (nnz=1234)
Tile 89 (5,8): cycles 1364 (nnz=1237)
Tile 90 (5,9): cycles 1346 (nnz=1219)
Tile 91 (5,10): cycles 1367 (nnz=1240)
Tile 92 (5,11): cycles 1390 (nnz=1263)
Tile 93 (5,12): cycles 1356 (nnz=1229)
Tile 94 (5,13): cycles 1354 (nnz=1227)
Tile 95 (5,14): cycles 1355 (nnz=1228)
Tile 96 (5,15): cycles 1341 (nnz=1214)
Tile 97 (6,0): cycles 1367 (nnz=1240)
Tile 98 (6,1): cycles 1361 (nnz=1234)
Tile 99 (6,2): cycles 1359 (nnz=1232)
Tile 100 (6,3): cycles 1337 (nnz=1210)
Tile 101 (6,4): cycles 1366 (nnz=1239)
Tile 102 (6,5): cycles 1315 (nnz=1188)
