Tile 1 (0,0): cycles 176 (nnz=49)
Tile 2 (0,1): cycles 173 (nnz=46)
Tile 3 (0,2): cycles 164 (nnz=37)
Tile 4 (0,3): cycles 170 (nnz=43)
Tile 5 (0,4): cycles 175 (nnz=48)
Tile 6 (0,5): cycles 160 (nnz=33)
Tile 7 (0,6): cycles 171 (nnz=44)
Tile 8 (0,7): cycles 172 (nnz=45)
Tile 9 (0,8): cycles 160 (nnz=33)
Tile 10 (0,9): cycles 155 (nnz=28)
Tile 11 (0,10): cycles 164 (nnz=37)
Tile 12 (0,11): cycles 181 (nnz=54)
Tile 13 (0,12): cycles 173 (nnz=46)
Tile 14 (0,13): cycles 152 (nnz=25)
Tile 15 (0,14): cycles 178 (nnz=51)
Tile 16 (0,15): cycles 166 (nnz=39)
Tile 17 (1,0): cycles 178 (nnz=51)
Tile 18 (1,1): cycles 164 (nnz=37)
Tile 19 (1,2): cycles 185 (nnz=58)
Tile 20 (1,3): cycles 164 (nnz=37)
Tile 21 (1,4): cycles 160 (nnz=33)
Tile 22 (1,5): cycles 179 (nnz=52)
Tile 23 (1,6): cycles 158 (nnz=31)
Tile 24 (1,7): cycles 169 (nnz=42)
Tile 25 (1,8): cycles 180 (nnz=53)
Tile 26 (1,9): cycles 174 (nnz=47)
Tile 27 (1,10): cycles 176 (nnz=49)
Tile 28 (1,11): cycles 174 (nnz=47)
Tile 29 (1,12): cycles 163 (nnz=36)
Tile 30 (1,13): cycles 159 (nnz=32)
Tile 31 (1,14): cycles 165 (nnz=38)
Tile 32 (1,15): cycles 161 (nnz=34)
Tile 33 (2,0): cycles 166 (nnz=39)
Tile 34 (2,1): cycles 167 (nnz=40)
Tile 35 (2,2): cycles 172 (nnz=45)
Tile 36 (2,3): cycles 153 (nnz=26)
Tile 37 (2,4): cycles 180 (nnz=53)
Tile 38 (2,5): cycles 166 (nnz=39)
Tile 39 (2,6): cycles 168 (nnz=41)
Tile 40 (2,7): cycles 161 (nnz=34)
Tile 41 (2,8): cycles 163 (nnz=36)
Tile 42 (2,9): cycles 181 (nnz=54)
Tile 43 (2,10): cycles 168 (nnz=41)
Tile 44 (2,11): cycles 167 (nnz=40)
Tile 45 (2,12): cycles 179 (nnz=52)
Tile 46 (2,13): cycles 167 (nnz=40)
Tile 47 (2,14): cycles 169 (nnz=42)
Tile 48 (2,15): cycles 171 (nnz=44)
Tile 49 (3,0): cycles 169 (nnz=42)
Tile 50 (3,1): cycles 159 (nnz=32)
Tile 51 (3,2): cycles 162 (nnz=35)
Tile 52 (3,3): cycles 171 (nnz=44)
Tile 53 (3,4): cycles 168 (nnz=41)
Tile 54 (3,5): cycles 160 (nnz=33)
Tile 55 (3,6): cycles 174 (nnz=47)
Tile 56 (3,7): cycles 169 (nnz=42)
Tile 57 (3,8): cycles 175 (nnz=48)
Tile 58 (3,9): cycles 169 (nnz=42)
Tile 59 (3,10): cycles 167 (nnz=40)
Tile 60 (3,11): cycles 176 (nnz=49)
Tile 61 (3,12): cycles 164 (nnz=37)
Tile 62 (3,13): cycles 174 (nnz=47)
Tile 63 (3,14): cycles 168 (nnz=41)
Tile 64 (3,15): cycles 163 (nnz=36)
Tile 65 (4,0): cycles 173 (nnz=46)
Tile 66 (4,1): cycles 169 (nnz=42)
Tile 67 (4,2): cycles 183 (nnz=56)
Tile 68 (4,3): cycles 160 (nnz=33)
Tile 69 (4,4): cycles 189 (nnz=62)
Tile 70 (4,5): cycles 172 (nnz=45)
Tile 71 (4,6): cycles 170 (nnz=43)
Tile 72 (4,7): cycles 169 (nnz=42)
Tile 73 (4,8): cycles 169 (nnz=42)
Tile 74 (4,9): cycles 157 (nnz=30)
Tile 75 (4,10): cycles 164 (nnz=37)
Tile 76 (4,11): cycles 173 (nnz=46)
Tile 77 (4,12): cycles 162 (nnz=35)
Tile 78 (4,13): cycles 171 (nnz=44)
Tile 79 (4,14): cycles 174 (nnz=47)
Tile 80 (4,15): cycles 175 (nnz=48)
Tile 81 (5,0): cycles 165 (nnz=38)
Tile 82 (5,1): cycles 159 (nnz=32)
Tile 83 (5,2): cycles 181 (nnz=54)
Tile 84 (5,3): cycles 160 (nnz=33)
Tile 85 (5,4): cycles 166 (nnz=39)
Tile 86 (5,5): cycles 167 (nnz=40)
Tile 87 (5,6): cycles 160 (nnz=33)
Tile 88 (5,7): cycles 163 (nnz=36)
Tile 89 (5,8): cycles 162 (nnz=35)
Tile 90 (5,9): cycles 179 (nnz=52)
Tile 91 (5,10): cycles 176 (nnz=49)
Tile 92 (5,11): cycles 166 (nnz=39)
Tile 93 (5,12): cycles 162 (nnz=35)
Tile 94 (5,13): cycles 163 (nnz=36)
Tile 95 (5,14): cycles 170 (nnz=43)
Tile 96 (5,15): cycles 158 (nnz=31)
Tile 97 (6,0): cycles 164 (nnz=37)
Tile 98 (6,1): cycles 180 (nnz=53)
Tile 99 (6,2): cycles 161 (nnz=34)
Tile 100 (6,3): cycles 166 (nnz=39)
Tile 101 (6,4): cycles 179 (nnz=52)
Tile 102 (6,5): cycles 171 (nnz=44)
Tile 103 (6,6): cycles 184 (nnz=57)
Tile 104 (6,7): cycles 161 (nnz=34)
Tile 105 (6,8): cycles 170 (nnz=43)
Tile 106 (6,9): cycles 163 (nnz=36)
Tile 107 (6,10): cycles 164 (nnz=37)
Tile 108 (6,11): cycles 168 (nnz=41)
Tile 109 (6,12): cycles 162 (nnz=35)
Tile 110 (6,13): cycles 169 (nnz=42)
Tile 111 (6,14): cycles 173 (nnz=46)
Tile 112 (6,15): cycles 156 (nnz=29)
Tile 113 (7,0): cycles 164 (nnz=37)
Tile 114 (7,1): cycles 159 (nnz=32)
Tile 115 (7,2): cycles 175 (nnz=48)
Tile 116 (7,3): cycles 166 (nnz=39)
Tile 117 (7,4): cycles 159 (nnz=32)
Tile 118 (7,5): cycles 166 (nnz=39)
Tile 119 (7,6): cycles 167 (nnz=40)
Tile 120 (7,7): cycles 149 (nnz=22)
Tile 121 (7,8): cycles 159 (nnz=32)
Tile 122 (7,9): cycles 170 (nnz=43)
Tile 123 (7,10): cycles 171 (nnz=44)
Tile 124 (7,11): cycles 172 (nnz=45)
Tile 125 (7,12): cycles 175 (nnz=48)
Tile 126 (7,13): cycles 177 (nnz=50)
Tile 127 (7,14): cycles 174 (nnz=47)
Tile 128 (7,15): cycles 158 (nnz=31)
Tile 129 (8,0): cycles 169 (nnz=42)
Tile 130 (8,1): cycles 159 (nnz=32)
Tile 131 (8,2): cycles 182 (nnz=55)
Tile 132 (8,3): cycles 157 (nnz=30)
Tile 133 (8,4): cycles 178 (nnz=51)
Tile 134 (8,5): cycles 170 (nnz=43)
Tile 135 (8,6): cycles 172 (nnz=45)
Tile 136 (8,7): cycles 174 (nnz=47)
Tile 137 (8,8): cycles 166 (nnz=39)
Tile 138 (8,9): cycles 175 (nnz=48)
Tile 139 (8,10): cycles 170 (nnz=43)
Tile 140 (8,11): cycles 175 (nnz=48)
Tile 141 (8,12): cycles 170 (nnz=43)
Tile 142 (8,13): cycles 169 (nnz=42)
Tile 143 (8,14): cycles 162 (nnz=35)
Tile 144 (8,15): cycles 168 (nnz=41)
Tile 145 (9,0): cycles 170 (nnz=43)
Tile 146 (9,1): cycles 167 (nnz=40)
Tile 147 (9,2): cycles 176 (nnz=49)
Tile 148 (9,3): cycles 162 (nnz=35)
Tile 149 (9,4): cycles 173 (nnz=46)
Tile 150 (9,5): cycles 170 (nnz=43)
Tile 151 (9,6): cycles 186 (nnz=59)
Tile 152 (9,7): cycles 166 (nnz=39)
Tile 153 (9,8): cycles 172 (nnz=45)
Tile 154 (9,9): cycles 160 (nnz=33)
Tile 155 (9,10): cycles 171 (nnz=44)
Tile 156 (9,11): cycles 166 (nnz=39)
Tile 157 (9,12): cycles 170 (nnz=43)
Tile 158 (9,13): cycles 166 (nnz=39)
Tile 159 (9,14): cycles 166 (nnz=39)
Tile 160 (9,15): cycles 155 (nnz=28)
Tile 161 (10,0): cycles 161 (nnz=34)
Tile 162 (10,1): cycles 182 (nnz=55)
Tile 163 (10,2): cycles 183 (nnz=56)
Tile 164 (10,3): cycles 170 (nnz=43)
Tile 165 (10,4): cycles 173 (nnz=46)
Tile 166 (10,5): cycles 168 (nnz=41)
Tile 167 (10,6): cycles 176 (nnz=49)
Tile 168 (10,7): cycles 171 (nnz=44)
Tile 169 (10,8): cycles 167 (nnz=40)
Tile 170 (10,9): cycles 167 (nnz=40)
Tile 171 (10,10): cycles 170 (nnz=43)
Tile 172 (10,11): cycles 158 (nnz=31)
Tile 173 (10,12): cycles 160 (nnz=33)
Tile 174 (10,13): cycles 171 (nnz=44)
Tile 175 (10,14): cycles 162 (nnz=35)
Tile 176 (10,15): cycles 171 (nnz=44)
Tile 177 (11,0): cycles 181 (nnz=54)
Tile 178 (11,1): cycles 174 (nnz=47)
Tile 179 (11,2): cycles 162 (nnz=35)
Tile 180 (11,3): cycles 165 (nnz=38)
Tile 181 (11,4): cycles 166 (nnz=39)
Tile 182 (11,5): cycles 169 (nnz=42)
Tile 183 (11,6): cycles 169 (nnz=42)
Tile 184 (11,7): cycles 168 (nnz=41)
Tile 185 (11,8): cycles 180 (nnz=53)
Tile 186 (11,9): cycles 169 (nnz=42)
Tile 187 (11,10): cycles 172 (nnz=45)
Tile 188 (11,11): cycles 175 (nnz=48)
Tile 189 (11,12): cycles 167 (nnz=40)
Tile 190 (11,13): cycles 162 (nnz=35)
Tile 191 (11,14): cycles 165 (nnz=38)
Tile 192 (11,15): cycles 168 (nnz=41)
Tile 193 (12,0): cycles 169 (nnz=42)
Tile 194 (12,1): cycles 170 (nnz=43)
Tile 195 (12,2): cycles 163 (nnz=36)
Tile 196 (12,3): cycles 175 (nnz=48)
Tile 197 (12,4): cycles 165 (nnz=38)
Tile 198 (12,5): cycles 166 (nnz=39)
Tile 199 (12,6): cycles 162 (nnz=35)
Tile 200 (12,7): cycles 161 (nnz=34)
Tile 201 (12,8): cycles 163 (nnz=36)
Tile 202 (12,9): cycles 161 (nnz=34)
Tile 203 (12,10): cycles 174 (nnz=47)
Tile 204 (12,11): cycles 156 (nnz=29)
Tile 205 (12,12): cycles 159 (nnz=32)
Tile 206 (12,13): cycles 165 (nnz=38)
Tile 207 (12,14): cycles 168 (nnz=41)
Tile 208 (12,15): cycles 160 (nnz=33)
Tile 209 (13,0): cycles 167 (nnz=40)
Tile 210 (13,1): cycles 166 (nnz=39)
Tile 211 (13,2): cycles 172 (nnz=45)
Tile 212 (13,3): cycles 161 (nnz=34)
Tile 213 (13,4): cycles 160 (nnz=33)
Tile 214 (13,5): cycles 161 (nnz=34)
Tile 215 (13,6): cycles 164 (nnz=37)
Tile 216 (13,7): cycles 169 (nnz=42)
Tile 217 (13,8): cycles 173 (nnz=46)
Tile 218 (13,9): cycles 167 (nnz=40)
Tile 219 (13,10): cycles 163 (nnz=36)
Tile 220 (13,11): cycles 165 (nnz=38)
Tile 221 (13,12): cycles 166 (nnz=39)
Tile 222 (13,13): cycles 162 (nnz=35)
Tile 223 (13,14): cycles 165 (nnz=38)
Tile 224 (13,15): cycles 166 (nnz=39)
Tile 225 (14,0): cycles 183 (nnz=56)
Tile 226 (14,1): cycles 178 (nnz=51)
Tile 227 (14,2): cycles 178 (nnz=51)
