Tile 1 (0,0): cycles 934 (nnz=807)
Tile 2 (0,1): cycles 965 (nnz=838)
Tile 3 (0,2): cycles 942 (nnz=815)
Tile 4 (0,3): cycles 967 (nnz=840)
Tile 5 (0,4): cycles 964 (nnz=837)
Tile 6 (0,5): cycles 952 (nnz=825)
Tile 7 (0,6): cycles 942 (nnz=815)
Tile 8 (0,7): cycles 894 (nnz=767)
Tile 9 (0,8): cycles 988 (nnz=861)
Tile 10 (0,9): cycles 947 (nnz=820)
Tile 11 (0,10): cycles 957 (nnz=830)
Tile 12 (0,11): cycles 958 (nnz=831)
Tile 13 (0,12): cycles 949 (nnz=822)
Tile 14 (0,13): cycles 966 (nnz=839)
Tile 15 (0,14): cycles 996 (nnz=869)
Tile 16 (0,15): cycles 1001 (nnz=874)
Tile 17 (1,0): cycles 928 (nnz=801)
Tile 18 (1,1): cycles 922 (nnz=795)
Tile 19 (1,2): cycles 953 (nnz=826)
Tile 20 (1,3): cycles 904 (nnz=777)
Tile 21 (1,4): cycles 922 (nnz=795)
Tile 22 (1,5): cycles 948 (nnz=821)
Tile 23 (1,6): cycles 991 (nnz=864)
Tile 24 (1,7): cycles 961 (nnz=834)
Tile 25 (1,8): cycles 953 (nnz=826)
Tile 26 (1,9): cycles 930 (nnz=803)
Tile 27 (1,10): cycles 926 (nnz=799)
Tile 28 (1,11): cycles 925 (nnz=798)
Tile 29 (1,12): cycles 936 (nnz=809)
Tile 30 (1,13): cycles 917 (nnz=790)
Tile 31 (1,14): cycles 982 (nnz=855)
Tile 32 (1,15): cycles 907 (nnz=780)
Tile 33 (2,0): cycles 950 (nnz=823)
Tile 34 (2,1): cycles 919 (nnz=792)
Tile 35 (2,2): cycles 964 (nnz=837)
Tile 36 (2,3): cycles 960 (nnz=833)
Tile 37 (2,4): cycles 939 (nnz=812)
Tile 38 (2,5): cycles 940 (nnz=813)
Tile 39 (2,6): cycles 925 (nnz=798)
Tile 40 (2,7): cycles 902 (nnz=775)
Tile 41 (2,8): cycles 975 (nnz=848)
Tile 42 (2,9): cycles 939 (nnz=812)
Tile 43 (2,10): cycles 967 (nnz=840)
Tile 44 (2,11): cycles 955 (nnz=828)
Tile 45 (2,12): cycles 863 (nnz=736)
Tile 46 (2,13): cycles 1014 (nnz=887)
Tile 47 (2,14): cycles 958 (nnz=831)
Tile 48 (2,15): cycles 928 (nnz=801)
Tile 49 (3,0): cycles 939 (nnz=812)
Tile 50 (3,1): cycles 997 (nnz=870)
Tile 51 (3,2): cycles 913 (nnz=786)
Tile 52 (3,3): cycles 967 (nnz=840)
Tile 53 (3,4): cycles 941 (nnz=814)
Tile 54 (3,5): cycles 942 (nnz=815)
Tile 55 (3,6): cycles 943 (nnz=816)
Tile 56 (3,7): cycles 922 (nnz=795)
Tile 57 (3,8): cycles 950 (nnz=823)
Tile 58 (3,9): cycles 958 (nnz=831)
Tile 59 (3,10): cycles 970 (nnz=843)
Tile 60 (3,11): cycles 978 (nnz=851)
Tile 61 (3,12): cycles 955 (nnz=828)
Tile 62 (3,13): cycles 956 (nnz=829)
Tile 63 (3,14): cycles 939 (nnz=812)
Tile 64 (3,15): cycles 960 (nnz=833)
Tile 65 (4,0): cycles 951 (nnz=824)
Tile 66 (4,1): cycles 980 (nnz=853)
Tile 67 (4,2): cycles 941 (nnz=814)
Tile 68 (4,3): cycles 952 (nnz=825)
Tile 69 (4,4): cycles 982 (nnz=855)
Tile 70 (4,5): cycles 960 (nnz=833)
Tile 71 (4,6): cycles 922 (nnz=795)
Tile 72 (4,7): cycles 961 (nnz=834)
Tile 73 (4,8): cycles 953 (nnz=826)
Tile 74 (4,9): cycles 920 (nnz=793)
Tile 75 (4,10): cycles 934 (nnz=807)
Tile 76 (4,11): cycles 940 (nnz=813)
Tile 77 (4,12): cycles 960 (nnz=833)
Tile 78 (4,13): cycles 948 (nnz=821)
Tile 79 (4,14): cycles 939 (nnz=812)
Tile 80 (4,15): cycles 924 (nnz=797)
Tile 81 (5,0): cycles 943 (nnz=816)
Tile 82 (5,1): cycles 968 (nnz=841)
Tile 83 (5,2): cycles 977 (nnz=850)
Tile 84 (5,3): cycles 967 (nnz=840)
Tile 85 (5,4): cycles 984 (nnz=857)
Tile 86 (5,5): cycles 956 (nnz=829)
Tile 87 (5,6): cycles 977 (nnz=850)
Tile 88 (5,7): cycles 958 (nnz=831)
Tile 89 (5,8): cycles 958 (nnz=831)
Tile 90 (5,9): cycles 974 (nnz=847)
Tile 91 (5,10): cycles 982 (nnz=855)
Tile 92 (5,11): cycles 981 (nnz=854)
Tile 93 (5,12): cycles 921 (nnz=794)
Tile 94 (5,13): cycles 929 (nnz=802)
Tile 95 (5,14): cycles 943 (nnz=816)
Tile 96 (5,15): cycles 946 (nnz=819)
Tile 97 (6,0): cycles 966 (nnz=839)
Tile 98 (6,1): cycles 903 (nnz=776)
Tile 99 (6,2): cycles 926 (nnz=799)
Tile 100 (6,3): cycles 950 (nnz=823)
Tile 101 (6,4): cycles 960 (nnz=833)
Tile 102 (6,5): cycles 908 (nnz=781)
Tile 103 (6,6): cycles 962 (nnz=835)
Tile 104 (6,7): cycles 946 (nnz=819)
Tile 105 (6,8): cycles 946 (nnz=819)
Tile 106 (6,9): cycles 927 (nnz=800)
Tile 107 (6,10): cycles 914 (nnz=787)
Tile 108 (6,11): cycles 956 (nnz=829)
Tile 109 (6,12): cycles 940 (nnz=813)
Tile 110 (6,13): cycles 912 (nnz=785)
Tile 111 (6,14): cycles 947 (nnz=820)
Tile 112 (6,15): cycles 938 (nnz=811)
Tile 113 (7,0): cycles 957 (nnz=830)
Tile 114 (7,1): cycles 959 (nnz=832)
Tile 115 (7,2): cycles 958 (nnz=831)
Tile 116 (7,3): cycles 934 (nnz=807)
Tile 117 (7,4): cycles 942 (nnz=815)
Tile 118 (7,5): cycles 934 (nnz=807)
Tile 119 (7,6): cycles 935 (nnz=808)
Tile 120 (7,7): cycles 959 (nnz=832)
Tile 121 (7,8): cycles 942 (nnz=815)
Tile 122 (7,9): cycles 938 (nnz=811)
Tile 123 (7,10): cycles 971 (nnz=844)
Tile 124 (7,11): cycles 973 (nnz=846)
Tile 125 (7,12): cycles 969 (nnz=842)
Tile 126 (7,13): cycles 928 (nnz=801)
Tile 127 (7,14): cycles 970 (nnz=843)
Tile 128 (7,15): cycles 962 (nnz=835)
Tile 129 (8,0): cycles 970 (nnz=843)
Tile 130 (8,1): cycles 953 (nnz=826)
Tile 131 (8,2): cycles 875 (nnz=748)
Tile 132 (8,3): cycles 973 (nnz=846)
Tile 133 (8,4): cycles 893 (nnz=766)
Tile 134 (8,5): cycles 932 (nnz=805)
Tile 135 (8,6): cycles 944 (nnz=817)
Tile 136 (8,7): cycles 920 (nnz=793)
Tile 137 (8,8): cycles 993 (nnz=866)
Tile 138 (8,9): cycles 987 (nnz=860)
Tile 139 (8,10): cycles 990 (nnz=863)
